cell_lon,cell_lat,n_events,n_categories,n_recent,recency,frequency,diversity,frequency_n,recency_n,diversity_n,risk_index
25,5,492,2,491.0,0.9979674796747967,6.20050917404269,2,1.0,0.9979674796747967,0.25,0.849390243902439
20,5,404,2,403.0,0.9975247524752475,6.003887067106539,2,0.9642983142984194,0.9975247524752475,0.25,0.831406582891784
-95,30,369,2,364.0,0.986449864498645,5.91350300563827,2,0.9478868160937932,0.986449864498645,0.25,0.8198783673964902
30,5,310,2,310.0,1.0,5.739792912179234,2,0.9163453823430066,1.0,0.25,0.8081726911715033
-85,25,227,3,209.0,0.920704845814978,5.429345628954441,3,0.8599758748379311,0.920704845814978,0.5,0.806199391163459
130,-15,277,2,275.0,0.9927797833935018,5.627621113690637,2,0.8959777728375232,0.9927797833935018,0.25,0.7958228214368122
140,-20,131,3,128.0,0.9770992366412213,4.882801922586371,3,0.7607371273187314,0.9770992366412213,0.5,0.773498334651732
100,15,114,3,112.0,0.9824561403508771,4.74493212836325,3,0.735703400756673,0.9824561403508771,0.5,0.7625885424835995
-85,30,133,3,124.0,0.9323308270676691,4.897839799950911,3,0.7634676319382454,0.9323308270676691,0.5,0.7614330640894235
90,20,76,4,70.0,0.9210526315789473,4.343805421853684,4,0.6628687646851295,0.9210526315789473,0.75,0.7577501718162489
95,15,166,2,166.0,1.0,5.117993812416755,2,0.8034421265740381,1.0,0.25,0.751721063287019
125,-20,293,1,291.0,0.9931740614334471,5.683579767338681,1,0.9061384729538883,0.9931740614334471,0.0,0.7510214549069782
-125,35,468,2,320.0,0.6837606837606838,6.150602768446279,2,0.9909382376434546,0.6837606837606838,0.25,0.7505973239499324
135,-20,172,2,169.0,0.9825581395348837,5.153291594497779,2,0.8098513261368768,0.9825581395348837,0.25,0.7496931049289035
-90,30,290,1,287.0,0.9896551724137931,5.673323267171493,1,0.9042761475466741,0.9896551724137931,0.0,0.7490346254974749
15,-10,269,1,269.0,1.0,5.598421958998375,1,0.8906759323689258,1.0,0.0,0.7453379661844629
130,-20,229,1,229.0,1.0,5.438079308923196,1,0.8615616939613318,1.0,0.0,0.7307808469806658
20,-5,125,2,124.0,0.992,4.836281906951478,2,0.7522902491781729,0.992,0.25,0.7237451245890865
-100,30,211,2,174.0,0.8246445497630331,5.356586274672012,2,0.8467645852280362,0.8246445497630331,0.25,0.720775657542928
-95,35,202,1,199.0,0.9851485148514851,5.313205979041787,1,0.838887802172635,0.9851485148514851,0.0,0.714988455541763
-115,30,411,2,245.0,0.5961070559610706,6.021023349349527,2,0.9674098370679898,0.5961070559610706,0.25,0.7125370353223162
-120,30,246,3,143.0,0.5813008130081301,5.5093883366279774,3,0.8745096403264275,0.5813008130081301,0.5,0.7116450640656528
20,-10,179,1,179.0,1.0,5.19295685089021,1,0.8170535504394322,1.0,0.0,0.7085267752197161
-5,5,101,2,100.0,0.9900990099009901,4.624972813284271,2,0.7139217718713853,0.9900990099009901,0.25,0.7039905889059896
120,-20,121,2,113.0,0.9338842975206612,4.804021044733257,2,0.7464324787508071,0.9338842975206612,0.25,0.7033815286316019
20,-20,93,2,93.0,1.0,4.543294782270004,2,0.6990910723257729,1.0,0.25,0.6995455361628865
-100,35,170,1,167.0,0.9823529411764705,5.14166355650266,1,0.8077399635627661,0.9823529411764705,0.0,0.6985758641343243
-95,45,112,2,105.0,0.9375,4.727387818712341,2,0.7325177903552375,0.9375,0.25,0.6975088951776187
25,-10,156,1,156.0,1.0,5.056245805348308,1,0.7922302238261311,1.0,0.0,0.6961151119130655
30,-15,84,2,84.0,1.0,4.442651256490317,2,0.6808167104990425,1.0,0.25,0.6904083552495213
-125,40,416,2,214.0,0.5144230769230769,6.0330862217988015,2,0.969600154767017,0.5144230769230769,0.25,0.6891270004604316
-60,-20,144,1,144.0,1.0,4.976733742420574,1,0.7777928102292356,1.0,0.0,0.6888964051146178
30,0,49,3,48.0,0.9795918367346939,3.912023005428146,3,0.5844678139329368,0.9795918367346939,0.5,0.6861114579868764
-50,-15,136,1,136.0,1.0,4.919980925828125,1,0.7674879098686621,1.0,0.0,0.683743954934331
-120,40,357,1,252.0,0.7058823529411765,5.8805329864007,1,0.9419002803845761,0.7058823529411765,0.0,0.682714846074641
25,-5,36,4,32.0,0.8888888888888888,3.6109179126442243,4,0.5297946159226661,0.8888888888888888,0.75,0.6815639746279997
140,-15,79,2,78.0,0.9873417721518988,4.382026634673881,2,0.6698087865804446,0.9873417721518988,0.25,0.681106924935792
-85,35,100,3,75.0,0.75,4.61512051684126,3,0.7121328398101425,0.75,0.5,0.6810664199050712
15,5,75,2,75.0,1.0,4.330733340286331,2,0.6604951997037787,1.0,0.25,0.6802475998518893
15,-5,71,2,71.0,1.0,4.276666119016055,2,0.6506779366776225,1.0,0.25,0.6753389683388114
25,-15,122,1,122.0,1.0,4.812184355372417,1,0.7479147329859238,1.0,0.0,0.6739573664929619
110,50,117,1,117.0,1.0,4.770684624465665,1,0.7403794137249307,1.0,0.0,0.6701897068624654
30,-10,67,2,67.0,1.0,4.219507705176107,2,0.6402993899418916,1.0,0.25,0.6701496949709458
95,20,70,2,69.0,0.9857142857142858,4.2626798770413155,2,0.6481383828964672,0.9857142857142858,0.25,0.6697834771625193
15,-15,112,1,112.0,1.0,4.727387818712341,1,0.7325177903552375,1.0,0.0,0.6662588951776187
115,50,112,1,112.0,1.0,4.727387818712341,1,0.7325177903552375,1.0,0.0,0.6662588951776187
-125,45,203,3,99.0,0.4876847290640394,5.318119993844216,3,0.839780065076044,0.4876847290640394,0.5,0.6661954512572338
-120,45,411,2,181.0,0.44038929440389296,6.021023349349527,2,0.9674098370679898,0.44038929440389296,0.25,0.6658217068551628
35,-20,65,2,64.0,0.9846153846153847,4.189654742026425,2,0.6348788341140726,0.9846153846153847,0.25,0.6628240324416518
-55,-15,106,1,106.0,1.0,4.672828834461906,1,0.7226112353993441,1.0,0.0,0.6613056176996721
145,-25,61,2,60.0,0.9836065573770492,4.127134385045092,2,0.6235266918261101,0.9836065573770492,0.25,0.6568453131261698
-105,35,152,1,132.0,0.868421052631579,5.030437921392435,1,0.7875441538008789,0.868421052631579,0.0,0.6542983926899131
-15,10,56,2,56.0,1.0,4.04305126783455,2,0.6082592884286135,1.0,0.25,0.6541296442143067
