region,n_events,n_categories,n_recent,recency,frequency,diversity,frequency_n,recency_n,diversity_n,risk_index
Africa,4156,12,4046,0.9735322425409048,8.332548939252638,12,0.918686871639109,0.96751864144407,1.0,0.9495990282527755
North America,8173,8,5594,0.6844487948121865,9.008713664124222,8,1.0,0.6127540516305008,0.6363636363636364,0.8110989427618776
Oceania,1993,7,1812,0.9091821374811841,7.597897950521784,7,0.8303403963649479,0.8885478847115877,0.5454545454545454,0.7908254726868594
South America,1533,8,1277,0.8330071754729289,7.335633981927201,8,0.7988014784676589,0.7950656069705152,0.6363636363636364,0.7651931485977114
East Asia,861,9,748,0.8687572590011614,6.759255270663693,9,0.7294882558023454,0.8389382804782564,0.7272727272727273,0.7618801574991951
South Asia,313,6,238,0.7603833865814696,5.749392985908253,6,0.6080458637835415,0.7059413458645538,0.45454545454545453,0.6067144265602279
Russia / N. Asia,422,4,341,0.8080568720379147,6.0473721790462776,4,0.6438797656261858,0.7644464752513124,0.2727272727272727,0.6058192799339411
Europe,487,6,290,0.5954825462012321,6.1903154058531475,6,0.6610696019517562,0.5035742457865643,0.45454545454545453,0.5725161656209383
Southeast Asia,493,5,238,0.4827586206896552,6.202535517187923,5,0.6625391484172831,0.3652389052110716,0.36363636363636365,0.5135685184992358
Middle East / C. Asia,67,7,40,0.5970149253731343,4.219507705176107,7,0.4240673839342173,0.5054547888360885,0.5454545454545454,0.47276103770884426
Open Ocean,821,7,152,0.1851400730816078,6.71174039505618,7,0.7237742884254473,0.0,0.5454545454545454,0.47097805330363274
Arctic,1,1,1,1.0,0.6931471805599453,1,0.0,1.0,0.0,0.3
Antarctica,124,2,24,0.1935483870967742,4.8283137373023015,2,0.49728019911998966,0.010318723178552482,0.09090909090909091,0.26991753469537877
